ProductID,ProductName,VendorID,VendorName,QuantitySold
1,Adjustable Race,1580,"Litware, Inc.",154
2,Thin-Jam Hex Nut 15,1688,Wood Fitness,150
4,Headset Ball Bearings,1650,American Bicycles and Wheels,153
317,LL Crankarm,1578,"Vision Cycles, Inc.",22000
317,LL Crankarm,1678,"Proseware, Inc.",22000
318,ML Crankarm,1578,"Vision Cycles, Inc.",22000
318,ML Crankarm,1678,"Proseware, Inc.",22000
319,HL Crankarm,1556,West Junction Cycles,27500
320,Chainring Bolts,1604,Bike Satellite Inc.,129
321,Chainring Nut,1604,Bike Satellite Inc.,129
322,Chainring,1604,Bike Satellite Inc.,2580
323,Crown Race,1698,Business Equipment Center,153
325,Decal 1,1590,SUPERSALES INC.,62500
326,Decal 2,1590,SUPERSALES INC.,62500
332,Freewheel,1608,Sport Playground,27500
341,Flat Washer 1,1598,Continental Pro Cycles,60
341,Flat Washer 1,1614,"Reliance Fitness, Inc.",60
342,Flat Washer 6,1598,Continental Pro Cycles,60
342,Flat Washer 6,1614,"Reliance Fitness, Inc.",60
343,Flat Washer 2,1598,Continental Pro Cycles,60
344,Flat Washer 9,1598,Continental Pro Cycles,60
345,Flat Washer 4,1598,Continental Pro Cycles,60
346,Flat Washer 3,1598,Continental Pro Cycles,60
347,Cup-Shaped Race,1598,Continental Pro Cycles,57
347,Cup-Shaped Race,1614,"Reliance Fitness, Inc.",57
347,Cup-Shaped Race,1622,Speed Corporation,57
348,Pinch Bolt,1598,Continental Pro Cycles,57
348,Pinch Bolt,1614,"Reliance Fitness, Inc.",57
348,Pinch Bolt,1622,Speed Corporation,57
349,LL Touring Seat/Saddle,1598,Continental Pro Cycles,57
349,LL Touring Seat/Saddle,1614,"Reliance Fitness, Inc.",57
349,LL Touring Seat/Saddle,1622,Speed Corporation,57
351,Front Derailleur Cage,1544,Circuit Cycles,23100
351,Front Derailleur Cage,1694,"Compete, Inc.",23100
352,Front Derailleur Linkage,1544,Circuit Cycles,23100
352,Front Derailleur Linkage,1694,"Compete, Inc.",23100
355,Guide Pulley,1508,"Compete Enterprises, Inc",23100
356,LL Grip Tape,1516,Gardner Touring Cycles,3060
357,ML Grip Tape,1516,Gardner Touring Cycles,3060
358,HL Grip Tape,1500,Morgan Bike Accessories,3000
359,Thin-Jam Hex Nut 9,1496,Advanced Bicycles,39
360,Thin-Jam Hex Nut 10,1496,Advanced Bicycles,39
361,Thin-Jam Hex Nut 10,1496,Advanced Bicycles,39
362,Thin-Jam Hex Nut 1,1496,Advanced Bicycles,39
363,Thin-Jam Hex Nut 2,1496,Advanced Bicycles,39
364,Bearing Ball,1496,Advanced Bicycles,39
365,Lock Nut 11,1496,Advanced Bicycles,39
366,Lock Nut 2,1496,Advanced Bicycles,36
367,Lock Nut 20,1496,Advanced Bicycles,36
368,Lock Nut 21,1496,Advanced Bicycles,36
369,Lock Nut 3,1496,Advanced Bicycles,36
370,Thin-Jam Lock Nut 13,1496,Advanced Bicycles,36
371,Thin-Jam Lock Nut 14,1496,Advanced Bicycles,36
372,Thin-Jam Lock Nut 7,1496,Advanced Bicycles,36
373,Thin-Jam Lock Nut 8,1496,Advanced Bicycles,36
374,ML Mountain Seat/Saddle,1496,Advanced Bicycles,36
375,Hex Nut 5,1536,Cruger Bike Company,30
375,Hex Nut 5,1562,Norstan Bike Hut,30
375,Hex Nut 5,1656,Mountain Works,30
376,Hex Nut 6,1536,Cruger Bike Company,30
376,Hex Nut 6,1562,Norstan Bike Hut,30
376,Hex Nut 6,1656,Mountain Works,30
377,Hex Nut 16,1536,Cruger Bike Company,30
377,Hex Nut 16,1562,Norstan Bike Hut,30
377,Hex Nut 16,1656,Mountain Works,30
378,Hex Nut 17,1536,Cruger Bike Company,30
378,Hex Nut 17,1562,Norstan Bike Hut,30
378,Hex Nut 17,1656,Mountain Works,30
379,Hex Nut 7,1536,Cruger Bike Company,30
379,Hex Nut 7,1562,Norstan Bike Hut,30
380,ML Touring Seat/Saddle,1536,Cruger Bike Company,30
380,ML Touring Seat/Saddle,1562,Norstan Bike Hut,30
381,HL Touring Seat/Saddle,1536,Cruger Bike Company,30
381,HL Touring Seat/Saddle,1562,Norstan Bike Hut,30
382,LL Mountain Rim,1536,Cruger Bike Company,30
382,LL Mountain Rim,1562,Norstan Bike Hut,30
383,ML Mountain Rim,1536,Cruger Bike Company,30
383,ML Mountain Rim,1562,Norstan Bike Hut,30
384,Flat Washer 8,1536,Cruger Bike Company,30
384,Flat Washer 8,1562,Norstan Bike Hut,30
385,Lock Nut 13,1536,Cruger Bike Company,30
385,Lock Nut 13,1562,Norstan Bike Hut,30
386,Road Tire Tube,1536,Cruger Bike Company,30
386,Road Tire Tube,1562,Norstan Bike Hut,30
387,Touring Tire Tube,1536,Cruger Bike Company,30
387,Touring Tire Tube,1562,Norstan Bike Hut,30
388,LL Crankarm,1536,Cruger Bike Company,30
388,LL Crankarm,1562,Norstan Bike Hut,30
389,ML Crankarm,1536,Cruger Bike Company,30
389,ML Crankarm,1562,Norstan Bike Hut,30
390,Thin-Jam Hex Nut 5,1536,Cruger Bike Company,30
390,Thin-Jam Hex Nut 5,1562,Norstan Bike Hut,30
391,Hex Nut 1,1536,Cruger Bike Company,30
391,Hex Nut 1,1562,Norstan Bike Hut,30
392,Hex Nut 10,1536,Cruger Bike Company,30
392,Hex Nut 10,1562,Norstan Bike Hut,30
393,Hex Nut 11,1536,Cruger Bike Company,30
393,Hex Nut 11,1562,Norstan Bike Hut,30
394,Hex Nut 2,1562,Norstan Bike Hut,30
395,Metal Sheet 6,1562,Norstan Bike Hut,30
396,Metal Sheet 1,1562,Norstan Bike Hut,30
397,LL Mountain Seat/Saddle,1562,Norstan Bike Hut,30
402,Keyed Washer,1648,Wide World Importers,153
403,External Lock Washer 3,1672,Expert Bike Co,63
404,External Lock Washer 4,1672,Expert Bike Co,63
405,External Lock Washer 9,1672,Expert Bike Co,63
406,External Lock Washer 5,1672,Expert Bike Co,63
407,External Lock Washer 7,1672,Expert Bike Co,63
408,Thin-Jam Hex Nut 16,1672,Expert Bike Co,60
409,Headset Ball Bearings,1672,Expert Bike Co,60
410,HL Road Rim,1616,Aurora Bike Center,33
410,HL Road Rim,1686,Pro Sport Industries,33
411,External Lock Washer 6,1616,Aurora Bike Center,33
411,External Lock Washer 6,1686,Pro Sport Industries,33
412,External Lock Washer 1,1616,Aurora Bike Center,33
412,External Lock Washer 1,1686,Pro Sport Industries,33
